id,area,title,persona,journey,expected,entry_points,qa_status,bug_ids,fix_status,retest_status,fix_commits,evidence,last_report,overlaps,notes
ADM-primeiro-login-entra,ADM,"Entrar no backoffice na primeira tentativa, com credenciais válidas",Nana,J-cadastrar-produto-com-grade,Digitar e-mail e senha corretos leva ao painel na PRIMEIRA tentativa; credencial errada mostra mensagem de erro,http://localhost:8081/admin/login,pass,BUG-20260802-primeiro-login-do-admin-volta-para-a-tela,fixed,pass,f620217,docs/qa/evidence/2026-08-02-backoffice-catalogo-11-14/login-primeira-tentativa-entra-corrigido.png,docs/qa/reports/2026-08-02-backoffice-catalogo-11-14.md,,"**Lacuna de planejamento que a execução encontrou.** O ciclo mapeou nove journeys de catálogo e nenhuma delas cobria o passo 0 — entrar. O login estava tratado como pré-condição de ambiente, não como comportamento visível para uma persona. Ele é o passo 0 de **todas** as journeys de backoffice, então mora na área `ADM` e é referenciado por elas. A journey associada é `J-cadastrar-produto-com-grade` por ser a de maior valor entre as que ele bloqueia — não porque ele pertença só a ela."
ADR-blocos-colapsados-na-recompra,ADR,Cliente recorrente encontra Contato e Entrega já prontos e colapsados,Marina,J-recompra-endereco-salvo,"Com addresses.is_default salvo e 2+ opções cotadas, o bloco Entrega nasce COLAPSADO com a mais barata selecionada",http://localhost:8080/checkout,untested,,,,,,../reports/2026-07-28-checkout-08-09.md,,"ADR-02. **Este AC já falhou uma vez**: colapsar exige `shipping !== null`, e semear o endereço não selecionava frete nenhum — com 2+ opções o bloco abria expandido. Corrigido pré-selecionando a mais barata. Andar com **2 ou mais** opções cotadas, não com uma (com uma só já funcionava antes)."
ADR-um-unico-endereco-default,ADR,Editar o endereço não cria um segundo default,Marina,J-recompra-endereco-salvo,count(*) em addresses com is_default=true para o customer segue 1 antes e depois de editar,http://localhost:8080/checkout,untested,,,,,,,,Prova no banco. Cobre a policy de UPDATE em `addresses` criada pela 08 — e o fato de que RLS negando devolve 0 linhas sem erro.
AUTH-overlay-preserva-carrinho,AUTH,Fechar o overlay de login não perde o carrinho,Bia,J-compra-pix-celular,"Ao fechar o overlay sem entrar, os itens do carrinho continuam lá",http://localhost:8080/checkout,pass,BUG-20260728-auth-local-so-entrega-ao-dono-do-resend,fixed,pass,,"re-walk 390×844 (Bia) — carrinho com 1 item sobrevive ao fechar o overlay em /checkout; overlay avança para ""Digite o código"" sem alerta de erro",../reports/2026-08-02-auth-otp-remetente.md,,"Login é obrigatório, entao quem chega em `/checkout` deslogada vê o overlay com `returnTo=/checkout`. Bia não esperava ter de criar conta — o caminho de saída dela não pode custar o carrinho. Conferir também que o foco fica preso no overlay (não vaza para a página atrás) e que Esc fecha."
BLK-barra-oferece-as-seis-acoes,BLK,"A barra de massa oferece as seis ações, e Ativar/Pausar mudam o status numa operação",Nana,J-agir-na-selecao-sem-perder-catalogo,"Com linhas selecionadas a barra mostra Editar em massa, Ativar, Pausar, Duplicar, Exportar e Excluir com a contagem de itens; Ativar e Pausar aplicam numa operação, com o toast ""X alterados · Y falharam"" e o desfazer de 30 s",http://localhost:8081/admin/produtos,skipped,,,,,,docs/qa/reports/2026-08-02-backoffice-catalogo-11-14.md,,"`RFN-01` + `RFN-02` (`14`/P1.1 AC 1-2), a lacuna nº 1 da `13`: existiam duas ações de seis — a lojista selecionava 12 produtos e a única coisa possível era abrir um painel. O fecho é na vitrine: pausar 12 produtos tem que tirá-los da loja."
BLK-duplicar-nasce-rascunho,BLK,"Duplicar cria cópias como rascunho, com slug próprio livre, num único insert",Nana,J-agir-na-selecao-sem-perder-catalogo,"Cada selecionado gera uma cópia como rascunho, com ""(cópia)"" no nome e slug próprio; se o slug da cópia colidir, recebe sufixo até ficar livre; e os originais não são tocados",http://localhost:8081/admin/produtos,skipped,,,,,,docs/qa/reports/2026-08-02-backoffice-catalogo-11-14.md,,"`RFN-01` (AC 3) + o edge case do slug. Nascer **rascunho** é a proteção: uma cópia ativa entraria na vitrine com o nome ""(cópia)"" à vista da cliente. O `UNIQUE` do banco não pode ser a primeira linha de defesa — duplicar 12 produtos e receber erro de constraint no meio deixa metade criada."
BLK-excluir-mostra-antes-de-apagar,BLK,Excluir em massa lista os produtos e exige a palavra EXCLUIR antes de apagar,Dora,J-agir-na-selecao-sem-perder-catalogo,"A etapa 1 lista nome, preço e status de cada produto e informa quantos são (seleção grande mostra os primeiros N e ""e mais X""); a etapa 2 só habilita a ação com a palavra EXCLUIR digitada (minúsculas aceitas); cancelar em qualquer etapa não exclui nada e preserva a seleção",http://localhost:8081/admin/produtos,skipped,,,,,,docs/qa/reports/2026-08-02-backoffice-catalogo-11-14.md,BLK-excluir-nao-orfana-pedido,"`RFN-02` (`A27`). Excluir é a única ação da barra **sem desfazer**: `useUndoBuffer` restaura valores, não linhas apagadas. As duas etapas são a única proteção que existe. Dora é a persona: ela é quem lê a lista, reconhece um produto que não devia estar ali e cancela. Exigir caixa exata em `EXCLUIR` seria hostilidade — `excluir` minúsculo é aceito por decisão de spec."
BLK-excluir-nao-orfana-pedido,BLK,"Excluir produto já vendido falha de forma legível, sem levar o histórico do pedido",Nana,J-agir-na-selecao-sem-perder-catalogo,"Excluir um produto cujas variações já foram vendidas relata a falha em linguagem de loja (""X excluídos · Y falharam"" com o motivo), nunca um erro de FK cru — e o pedido antigo continua legível com item, preço e rótulo da variação",http://localhost:8081/admin/produtos,skipped,,,,,,docs/qa/reports/2026-08-02-backoffice-catalogo-11-14.md,BLK-excluir-mostra-antes-de-apagar; PRD-excluir-variacao-vendida,"`RFN-01` AC 8 encontrando a armadilha de banco de `PFM-08` AC 9a: a FK `order_items.variant_id → product_variants(id)` é `NO ACTION`. Duas formas de falhar, ambas graves — erro cru na cara da lojista, ou (se algum dia ganhar `CASCADE`) item de pedido pago desaparecendo. O histórico do pedido tem defesa própria (`order_items.variant_label` e `variant_options` congelam o rótulo na compra), e é isso que se confere na página do pedido depois da tentativa."
BLK-exportar-volta-pelo-importador,BLK,O CSV exportado é relido pelo Importar CSV sem edição manual,Nana,J-agir-na-selecao-sem-perder-catalogo,"Exportar baixa um CSV apenas com os selecionados, nas mesmas colunas que o Importar CSV aceita; produto com grade leva o base_price (não a faixa); e o arquivo baixado é aceito de volta pelo importador sem edição",http://localhost:8081/admin/produtos,skipped,,,,,,docs/qa/reports/2026-08-02-backoffice-catalogo-11-14.md,,"`RFN-03` (`A26`). O valor não é ""baixou um arquivo"" — é fechar o ciclo exportar → editar no Excel → reimportar. Um CSV que o próprio importador recusa é meio caminho que parece pronto."
BLK-grade-rapida-colar-e-criar,BLK,"Colar 8 linhas do Excel e criar só as válidas, herdando os padrões do lote",Nana,J-cadastrar-lote-grade-rapida,"Colar com ⌘V distribui as linhas em células aplicando as máscaras pt-BR; o rodapé mostra ""7 prontas · 1 com erro""; criar gera só as 7, como rascunho, com a grade do cruzamento dos padrões herdando o preço da linha, e mantém a linha com erro na tela",http://localhost:8081/admin/produtos/grade-rapida,skipped,,,,,,docs/qa/reports/2026-08-02-backoffice-catalogo-11-14.md,,"`PLS-07` (P2.3 AC 1-9). O happy path do drop: 20 itens numa tela em vez de 20 formulários. A herança dos padrões é onde o silêncio é caro — se um padrão não é aplicado, o produto nasce sem categoria ou sem grade e ninguém vê, porque a linha **foi** criada. Conferir no banco o que herdou: `product_categories`, `products.options` e `product_variants`."
BLK-grade-rapida-erro-na-linha,BLK,"Erro aparece abaixo da linha na hora, nomeando a URL em conflito",Dora,J-cadastrar-lote-grade-rapida,"A linha inválida mostra o erro imediatamente abaixo dela, sem esperar o submit (""Preço é obrigatório"", ""já existe um produto com a URL /..."" nomeando a URL); colar 500 linhas limita o lote a 200 com aviso explícito em vez de travar a aba",http://localhost:8081/admin/produtos/grade-rapida,skipped,,,,,,docs/qa/reports/2026-08-02-backoffice-catalogo-11-14.md,,"`PLS-07` AC 6 + os edge cases de slug e de teto (`A24`). Numa planilha de 20 linhas, erro que só aparece no submit obriga a caçar qual linha — e o erro genérico ""já existe"" não diz qual URL colidiu."
BLK-grade-rapida-imagem-na-celula,BLK,A coluna imagem existe na planilha e usa a mesma validação da aba Mídia,Nana,J-cadastrar-lote-grade-rapida,"A coluna imagem existe antes de Nome; escolher arquivo usa a mesma validação e conversão da aba Mídia (PNG/JPG/WebP, 8 MB, WebP 1600 px) com miniatura e ação de remover; a imagem entra em products.images como {url, alt, source:'upload'}; e upload que falha deixa a linha criável sem imagem, com o motivo nomeado",http://localhost:8081/admin/produtos/grade-rapida,skipped,,,,,,docs/qa/reports/2026-08-02-backoffice-catalogo-11-14.md,MED-upload-rejeita-antes-de-comprimir,"`RFN-05` (`14`/P1.3, `A30`). Era lacuna declarada da `13`: cadastrar 20 produtos em lote e depois abrir 20 formulários para pôr foto anula metade do ganho. O teste é **comparativo**: o mesmo arquivo de 12 MB rejeitado na aba Mídia tem que ser rejeitado aqui, com a mesma mensagem — reusar `uploadProductImages` era a condição para a coluna existir."
BLK-grade-rapida-uma-escrita-em-lote,BLK,"Criar N produtos usa um insert de produtos, um de variações e um refetch",Nana,J-cadastrar-lote-grade-rapida,"A rede registra um insert de produtos, um de variações e um único refetch da listagem — não N de cada",http://localhost:8081/admin/produtos/grade-rapida,skipped,,,,,,docs/qa/reports/2026-08-02-backoffice-catalogo-11-14.md,,"`PLS-08` (P2.3 AC 10). O requisito nasceu de um defeito medido: `handleBatchImport` chamava `createProduct` num laço e cada `createProduct` terminava em `fetchProducts()` — 40 produtos = 40 `SELECT`s do catálogo inteiro. **Um lote que cria os produtos certos com N requisições falha este cenário mesmo com a tela verde.** Contar requisições é parte da sessão, não zelo extra."
BLK-massa-categorias-e-agendar,BLK,Painel de massa muda categorias por diff e agenda com data obrigatória,Nana,J-reprecificar-em-massa,"Categorias oferece Adicionar, Remover e Substituir (com a prévia avisando que as atuais serão removidas) e escreve por diff, sem reescrever vínculo que não mudou; Status oferece Ativar, Pausar e Agendar, e Agendar exige data e tira o produto da loja até ela",http://localhost:8081/admin/produtos,skipped,,,,,,docs/qa/reports/2026-08-02-backoffice-catalogo-11-14.md,,"`RFN-04` (`14`/P1.2) — a lacuna que a `13` declarou: `buildBulkPatch` **implementava e testava** os dois modos, faltava só a UI. Então aqui o que se testa é a **costura**: o interruptor certo, o diff certo no banco, e o agendado fora da vitrine. Conferir `product_categories` antes e depois: vínculo que não mudou não pode ter sido reescrito (`updated_at`/ordem preservados)."
